sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72715909,0,3,4,4,0,0,0,0,0,37683,46599,1376.853580548939,15.56988
72715913,9,1,5,2,1,1,1,1,0,40608,76653,1509.0994481624987,17.41917
72715918,1,3,3,6,0,0,1,0,0,70509,147344,1548.743077424259,43.1358
72715924,4,3,5,8,1,0,0,1,1,57876,308096,2153.5430515164107,33.32806
72715925,0,0,1,2,0,0,1,0,0,68245,20715,1092.0106203234373,51.9426
72715928,4,0,5,1,1,0,1,1,1,74242,97261,1782.009232888825,30.61754
72715929,15,15,6,5,1,1,0,1,1,112029,37812,1112.6890934094997,61.2154
72715930,2,1,4,2,1,0,1,0,1,37255,34778,795.5604117545575,31.09655
72715932,3,4,5,5,1,1,1,0,1,53669,58285,2719.842154928369,21.0428
72715933,1,2,1,2,0,0,1,1,1,107908,71166,1197.8332349717562,38.02327
72715938,1,10,4,6,0,0,0,0,1,67388,194543,1444.7602843587279,14.37824
72715943,0,2,0,2,0,0,0,0,0,110313,26926,1340.5630245859022,43.1358
72715945,0,0,1,3,1,0,1,1,0,60110,23468,1588.2904380432929,10.52342
72715955,0,1,3,3,0,0,1,0,1,94893,49057,1447.4590782151374,23.85849
72715965,0,0,2,6,1,1,0,1,0,46321,95363,4390.0149953336195,67.45676
72715974,13,14,6,6,1,1,0,1,1,57563,78679,1773.014400284701,60.95174
72715978,0,2,7,7,1,1,1,1,1,71807,20033,2275.3955972645135,27.43816
72715980,0,1,1,3,1,1,0,0,1,96275,21628,757.259108562974,23.85849
72715981,0,3,6,2,0,0,0,0,0,38291,63855,977.245321431368,21.54281
72715990,7,8,3,5,1,1,1,1,1,95510,69724,1067.5520624175322,7.77526
72716004,0,1,1,1,0,0,0,0,1,79733,53719,1458.2363781902122,33.43091
72716007,0,2,0,2,0,0,0,0,0,55734,44299,1931.3528522088534,71.13734
72716012,1,3,1,2,0,0,0,1,1,110189,37431,1056.3436723571372,34.61216
72716016,1,0,2,1,0,0,0,1,1,102110,36252,663.5771819485822,45.33112
72716022,15,2,7,5,1,1,0,1,1,61825,87931,1279.0142270644028,26.46614
72716024,0,4,3,3,0,0,1,0,1,43344,46536,3260.142685232938,37.34047
72716027,1,0,3,2,1,1,0,1,1,111981,64893,987.0556146271555,31.81687
72716030,9,9,6,2,1,1,0,1,1,98005,30911,1440.0051761508848,75.66606
72716033,0,0,2,1,1,1,0,1,0,84138,113003,1233.0823075493572,47.42514
72716034,0,0,1,1,0,0,1,0,0,38221,28454,1233.1130948197092,13.3885
72716043,15,0,7,4,1,1,0,1,1,133354,241110,1079.706358093816,22.98494
72716057,1,0,1,2,1,1,0,1,1,59977,53275,2351.984983575786,35.74824
72716061,1,0,5,8,0,0,0,0,1,53863,24415,5152.897808724145,23.67182
72716063,0,2,3,1,1,1,0,0,1,57824,140937,1214.6136216891234,14.37824
72716066,0,0,5,2,1,1,0,0,1,52911,560513,1748.1021849627039,35.0983
72716074,3,3,3,2,1,1,0,1,1,56354,651319,1307.4668480422035,20.20479
72716078,2,10,4,6,1,1,1,0,1,104756,77624,2229.8644749046684,22.98494
72716085,0,0,1,2,0,0,1,0,0,72017,81456,4085.543115301513,55.67304
72716094,10,4,2,6,0,0,1,1,1,39990,28186,1325.8000425743278,38.85749
